Nivel,Tipo de Curso,Plan,Cód.,Descripción,Tray.,Año,Mód.,Sem.,Grupo,Turno,Cód.,Descripción,Ruee Calculado,Rule calculado
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,008,ADMINISTRACION, , 3,0, ,BA,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,008,ADMINISTRACION, , 3,0, ,BB,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 1,0, ,BD,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 1,0, ,BE,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 2,0, ,BD,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 2,0, ,BD2,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 2,0, ,BE,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 3,0, ,BD,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION, , 3,0, ,BE,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,480,INFORMATICA, , 2,0, ,BC,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,480,INFORMATICA, , 3,0, ,BC,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUC. SUPERIOR TERCIARIA,CURSO TECNICO TERCIARIO,2015,008,ADMINISTRACION, , 0,1, ,TA1,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,144,CARPINTERIA, , 3,0, ,BP2,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,14D,BELLEZA INTEGRAL ENFASIS CAPILAR, , 3,0, ,BP6,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,492,INSTALACIONES ELECTRICAS, , 3,0, ,BP1,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,572,MECANICA GENERAL, , 3,0, ,BP3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,576,MECANICA AUTOMOTRIZ, , 3,0, ,BP4,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,968,SOPORTE Y MANTENIMIENTO INFORMATICO, , 3,0, ,BP5,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,ARTICULACION EDUCACION MEDIA BASICA,2014,77C,REDESCUBRIR PARA  FPB TRAYECTO II, , 0,1, ,AR1,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA BASICA,ARTICULACION EDUCACION MEDIA BASICA,2010,988,PROGRAMA RUMBO, , 0,1, ,PR1,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
