Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1219001,3190082,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219001,3190082,4,,NOCTURNO ,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1219001,3190082,4,,NOCTURNO ,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
