Tipo_de_Educacion,Turno,Comparte,Categoria,PNOfrece2,UNOfrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,,Profesores especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegida,RUEE,rule1,Nombre
ESCUELA COMÚN,RURAL,,RURAL COMUN,1,5,,,,,,,,,,,,1105050,2050049,
ESCUELA COMÚN,DOBLE,,APRENDER,3 AÑOS,6,,,,,,,,,,,,1105051,2050050,
ESCUELA COMÚN,RURAL,,RURAL COMUN,3 AÑOS,6,,,,,,,,,,,,1105052,2050051,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105054,2050053,
ESCUELA COMÚN,TARDE,,URBANA COMUN,4 AÑOS,6,,,,,,,,,,,,1105055,2050054,DR. ALBERTO BOERGER
ESCUELA COMÚN,RURAL,,RURAL COMUN,3 AÑOS,6,,,,,,,,,,,,1105056,2050055,JESUALDO SOSA
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105057,2050056,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105058,2050057,
ESCUELA COMÚN,RURAL,,RURAL COMUN,3 AÑOS,5,,,,,,,,,,,,1105059,2050058,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105060,2050059,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105061,2050060,
ESCUELA COMÚN,RURAL,,RURAL COMUN,3 AÑOS,6,,,,,,,,,,,,1105062,2050061,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4,6,,,,,,,,,,,,1105063,2050062,ALFONSO POU Y ORFILIA
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105064,2050063,DR. LUIS MORQUIO
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105065,2050064,
ESCUELA COMÚN,RURAL,,RURAL COMUN,1,5,,,,,,,,,,,,1105066,2050065,MTRA. TERESA ANTONIA BARISSONI BERGERO
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,5,,,,,,,,,,,,1105068,2050066,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,5,,,,,,,,,,,,1105069,2050067,
ESCUELA COMÚN,RURAL,,RURAL COMUN,5 AÑOS,6,,,,,,,,,,,,1105070,2050068,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105071,2050069,
JARDÍN DE INFANTES,COMPLETO,,JARDINES,3 AÑOS,5 AÑOS,,,,,,,,,,,,1105072,2050070,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,5,,,,,,,,,,,,1105073,2050071,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105074,2050072,
ESCUELA COMÚN,RURAL,,RURAL COMUN,5 AÑOS,6,,,,,,,,,,,,1105075,2050073,RAMON ERRECARTE
JARDÍN DE INFANTES,DOBLE,,JARDINES,3 AÑOS,5 AÑOS,,,,,,,,,,,,1105076,2050074,DR. RAMIRO JULIO BORRAS
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105078,2050076,
ESCUELA COMÚN,RURAL,,RURAL COMUN,3 AÑOS,6,,,,,,,,,,,,1105079,2050077,AARON DE ANCHORENA
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105080,2050078,
ESCUELA COMÚN,RURAL,,RURAL COMUN,4 AÑOS,6,,,,,,,,,,,,1105081,2050079,
