MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,TURNO,PLAN,DescTForm,DescCarre,Mail,Enlace,Nro_Establecimiento
SEMIPRESENCIAL CENTRO,,Profesorado,COMUNICACIÓN VISUAL,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,COMUNICACIÓN VISUAL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,COMUNICACIÓN VISUAL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,COMUNICACIÓN VISUAL,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,DERECHO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,DERECHO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,DERECHO,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,DERECHO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,DERECHO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,DERECHO,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,EDUCACIÓN MUSICAL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,EDUCACIÓN MUSICAL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,EDUCACIÓN MUSICAL,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,EDUCACIÓN MUSICAL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,EDUCACIÓN MUSICAL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,EDUCACIÓN MUSICAL,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ESPAÑOL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ESPAÑOL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ESPAÑOL,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,ESPAÑOL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,ESPAÑOL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,ESPAÑOL,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FILOSOFÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FILOSOFÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FILOSOFÍA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,FILOSOFÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,FILOSOFÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,FILOSOFÍA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FRANCÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FRANCÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FRANCÉS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FRANCÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FRANCÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FRANCÉS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FÍSICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FÍSICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,FÍSICA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,FÍSICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,FÍSICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,FÍSICA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,HISTORIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,HISTORIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,HISTORIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,HISTORIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,HISTORIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,HISTORIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,INGLÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,INGLÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,INGLÉS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,INGLÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,INGLÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,INGLÉS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ITALIANO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ITALIANO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ITALIANO,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ITALIANO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ITALIANO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,ITALIANO,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,LITERATURA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,LITERATURA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,LITERATURA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,LITERATURA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,LITERATURA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,LITERATURA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,MATEMÁTICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,MATEMÁTICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,MATEMÁTICA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,MATEMÁTICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,MATEMÁTICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL,,Profesorado,MATEMÁTICA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,PORTUGUÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,PORTUGUÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,PORTUGUÉS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,PORTUGUÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,PORTUGUÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
SEMIPRESENCIAL CENTRO,,Profesorado,PORTUGUÉS,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,1409567
