X,Y,Nro_Establecimiento,subsis,NOMBRE,depto,Departamento,Localidad,Paraje,Calle,NroPuerta,Telefono,Mail,Enlace
-55.9850953852097,-31.7138087075392,1418576,CETP,IFD DE TACUAREMBÓ "MAESTRO DARDO MANUEL RAMOS",,TACUAREMBO,TACUAREMBO,TACUAREMBO,DR. I. FERREIRA,320,4632 5030 / 2552,,http://www.dfpd.edu.uy/ifd/tacuarembo/index.html
-55.7639859197929,-34.7590873143535,1403555,CETP,CERP DEL SUR - ATLÁNTIDA,,CANELONES,ATLANTIDA,SORIANO,BARRIO ESPAÑOL – CALLE 17 METROS Nº 8,S/N,4372 1212 / 0909,,http://www.cerpsur.org/
-55.5466012984185,-30.9297061467192,1413554,CETP,CERP DEL NORTE - RIVERA,,RIVERA,RIVERA,LA PEDRERA,RUTA 5 KM. 495.500,S/N,4623 4911,,http://www.dfpd.edu.uy/cerp/cerp_norte/index.html
-55.544687104473,-30.9047569466147,1413570,CETP,IFD DE RIVERA "VICTORIA SABINA BISIO",,RIVERA,RIVERA,RIVERA,AGRACIADA,892,4622 3053 / 9989,,http://ifdrivera.cfe.edu.uy/
-55.2389702550299,-34.3757690800111,1409567,CETP,IFD DE MINAS "BRIGADIER GENERAL JUAN ANTONIO LAVALLEJA",,LAVALLEJA,MINAS,MINAS,18 DE JULIO,719,4442 7272,,http://www.dfpd.edu.uy/ifd/minas/index.html
-54.957896101999,-34.9099581836872,1410564,CETP,IFD DE MALDONADO "MAESTRA JULIA RODRÍGUEZ",,MALDONADO,MALDONADO,MALDONADO,SARANDI,757,4222 2278,,http://www.dfpd.edu.uy/ifd/mercedes/
-54.9465364147791,-34.9165283668853,1410552,CETP,CERP DEL ESTE - MALDONADO,,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,CALLE LA VIRGEN Y ALFEREZ CAMPORA,S/N,4225 4428,,http://www.dfpd.edu.uy/cerp/cerp_este/index.htm
-54.3848562461906,-33.2311071970428,1419577,CETP,IFD DE TREINTA Y TRES "MAESTRO JULIO MACEDO",,TREINTA Y TRES,TREINTA Y TRES,TREINTA Y TRES,LAVALLEJA,343,4452 2056 / 6627,,http://www.dfpd.edu.uy/ifd/treintaytres/index.html
-54.3356462125697,-34.4791919055095,1414571,CETP,IFD DE ROCHA "DR. HÉCTOR LORENZO Y LOSADA",,ROCHA,ROCHA,ROCHA,25 DE AGOSTO,133,4472 2925 / 2234,,http://www.dfpd.edu.uy/ifd/rocha/index.html
-54.1694346329195,-32.3738727062876,1404565,CETP,IFD DE MELO "DR. EMILIO ORIBE",,CERRO LARGO,MELO,MELO,APARICIO SARAVIA,441,4642 9981 / 2351,,http://www.dfpd.edu.uy/ifd/melo/index.html
