CARRERA,DURACIÓN,CRÉDITOS MÍNIMOS,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación,Orden original
TECNOLOGO EN ADMINISTRACION Y CONTABILIDAD,2 AÑOS Y MEDIO,225,2012,CURE_MALDONADO,FACULTAD DE CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a,174
TECNOLOGO EN ADMINISTRACION Y CONTABILIDAD,2 AÑOS Y MEDIO,225,2012,CURE_ROCHA,FACULTAD DE CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a,175
TECNOLOGO EN ADMINISTRACION Y CONTABILIDAD,2 AÑOS Y MEDIO,225,2012,CURE_TREINTA Y TRES,FACULTAD DE CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a,176
TECNOLOGO EN TELECOMUNICACIONES,2 AÑOS Y MEDIO,200,2009,CURE_ROCHA,FACULTAD DE INGENIERÍA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a,177
TECNOLOGO MINERO,3 AÑOS,272,2013,CURE_TREINTA Y TRES,"FACULTAD DE AGRONOMÍA, FACULTAD DE CIENCIAS, FACULTAD DE INGENIERÍA",https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a,178
CIO AREA CIENTIFICO TECNOLOGICO,1 AÑO,,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,179
CIO AREA CIENTIFICO TECNOLOGICO,1 AÑO,,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,180
CIO AREA CIENTIFICO TECNOLOGICO,1 AÑO,,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,181
CIO AREA SOCIAL - TRAYECTORIA CIENCIAS SOCIALES,1 AÑO,,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,182
CIO AREA SOCIAL - TRAYECTORIA CIENCIAS SOCIALES,1 AÑO,,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,183
CIO AREA SOCIAL - TRAYECTORIA CIENCIAS SOCIALES,1 AÑO,,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,184
CIO AREA SOCIAL - TRAYECTORIA TAC,1 AÑO,,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,185
CIO AREA SOCIAL - TRAYECTORIA TAC,1 AÑO,,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,186
CIO AREA SOCIAL - TRAYECTORIA TAC,1 AÑO,,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,187
CIO AREA SOCIAL - TRAYECTORIA TURISMO,1 AÑO,,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,188
CIO CIENCIA Y TECNOLOGÍA- TRAYECTORIA PSICOLOGIA,1 AÑO,,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,189
CIO CIENCIA Y TECNOLOGÍA- TRAYECTORIA PSICOLOGIA,1 AÑO,,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,190
CIO CIENCIA Y TECNOLOGÍA- TRAYECTORIA PSICOLOGIA,1 AÑO,,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,191
TECNÓLOGO EN INFORMÁTICA,3 AÑOS,,2007,CURE_MALDONADO,FACULTAD DE INGENIERÍA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a,192
TECNÓLOGO EN PRODUCCIÓN EQUINA,3 AÑOS,254,2022,CENUR NORESTE_CERRO LARGO,FACULTAD DE VETERINARIA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-sede-cerro-largo/,Grado,Tecnólogo/a,193
TECNÓLOGO EN SISTEMAS INTEGRADOS DE PRODUCCIÓN AGROPECUARIA,3 AÑOS,270,2022,CENUR NORESTE_CERRO LARGO,FACULTAD DE VETERINARIA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-sede-cerro-largo/,Grado,Tecnólogo/a,194
LICENCIATURA EN EDUCACIÓN FÍSICA – PRÁCTICAS EDUCATIVAS,4 AÑOS,360,2014,CENUR NORESTE_RIVERA,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Licenciado/a,195
